policy_id,mean_lopo_score,median_lopo_score,worst_lopo_score,std_lopo_score,mean_lopo_f1,worst_lopo_f1,mean_lopo_recall,min_valid_cluster_rate,top1,top2
fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score_sqrt_size,0.6596736617796233,0.6953976270847433,0.493243619122267,0.11632750104380941,0.31006767614761493,0.16438799974081514,0.2747578347578348,0.6666666666666666,0,1
fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score_sqrt_size,0.6567265566848457,0.6953976270847433,0.493243619122267,0.11888400294020803,0.30905097317012764,0.16438799974081514,0.2747578347578348,0.6666666666666666,0,0
fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score,0.6416328391087364,0.6953976270847433,0.4030395057678323,0.14435734274031944,0.3117677368640691,0.17288830332308594,0.273048433048433,0.6666666666666666,1,2
fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score,0.6386857340139587,0.6953976270847433,0.4030395057678323,0.1460617152378448,0.3107510338865818,0.17288830332308594,0.273048433048433,0.6666666666666666,0,0
fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score_sqrt_size,0.6242624874731433,0.6953976270847433,0.41916715151673817,0.11797057891847083,0.2836207274428756,0.16225475697525388,0.22911680911680912,0.6666666666666666,1,1
mcc_rank_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.62337680966158,0.6953976270847433,0.41911237296282955,0.148572254987507,0.3166704451219315,0.1590612777053455,0.3574928774928775,0.6666666666666666,0,0
mcc_rank_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.6184194865023639,0.6953976270847433,0.45974014447659095,0.1231832634054056,0.3055995188611318,0.1590612777053455,0.30415954415954416,0.6666666666666666,0,0
mcc_rank_count_eps5_ms3_min3_mean_score_sqrt_size,0.5951130140333385,0.5271856443555551,0.4113389177120548,0.15648858352254888,0.24823785993168207,0.12487203206907185,0.44871794871794873,1.0,0,1
mcc_rank_fraction_eps7_ms3_min3_mean_score,0.5938888949198264,0.639899310123998,0.41045083517515474,0.15556985662515602,0.31916912193101044,0.17663817663817663,0.35527065527065527,0.6666666666666666,0,0
mcc_rank_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.5865076325035332,0.6381205612653761,0.44268524816182253,0.10751050498341148,0.2860391308807772,0.15779833438751845,0.255042735042735,0.6666666666666666,0,0
