holdout,policy_id,robust_score,mean_f1,mean_recall,mean_precision,valid_cluster_rate,mean_seed_jaccard
1GQY,fixed_0p4_eps5_ms3_min3_mean_score,0.32810529242116676,0.19886508101611078,0.15384615384615385,0.4105057438390772,1.0,0.24324324324324323
1GQY,fixed_0p4_eps5_ms3_min3_mean_score_sqrt_size,0.41036140708599045,0.2038625822654861,0.17094017094017094,0.2651423353177739,1.0,0.5469713134186818
1GQY,fixed_0p4_eps6_ms3_min3_mean_score,0.3568633258493292,0.23375786854047725,0.20512820512820512,0.432410001037452,1.0,0.17647058823529413
1GQY,fixed_0p4_eps6_ms3_min3_mean_score_sqrt_size,0.5098023983737726,0.26801346801346804,0.2735042735042735,0.2695027328670259,1.0,0.6087720266342935
1GQY,fixed_0p4_eps7_ms3_min3_mean_score,0.39938146649411677,0.2675149665996348,0.2735042735042735,0.2696155274771627,1.0,0.16981132075471697
1GQY,fixed_0p4_eps7_ms3_min3_mean_score_sqrt_size,0.5161936692973246,0.28125413379473096,0.29914529914529914,0.27227728013891533,1.0,0.5641620177466465
1GQY,mcc_abs_eps5_ms3_min3_mean_score,0.1468374503706322,0.11852433281004711,0.07692307692307691,0.26153846153846155,1.0,0.0
1GQY,mcc_abs_eps5_ms3_min3_mean_score_sqrt_size,0.46789137192725266,0.22713726951015084,0.1623931623931624,0.38506787330316744,1.0,0.6369218500797448
1GQY,mcc_abs_eps6_ms3_min3_mean_score,0.32758158327659737,0.19874418762515697,0.1452991452991453,0.4259879905041195,1.0,0.23655913978494625
1GQY,mcc_abs_eps6_ms3_min3_mean_score_sqrt_size,0.4730107492747177,0.24141729551565616,0.21367521367521367,0.28168784620397525,1.0,0.5987213019471084
1GQY,mcc_abs_eps7_ms3_min3_mean_score,0.32758158327659737,0.19874418762515697,0.1452991452991453,0.4259879905041195,1.0,0.23655913978494625
1GQY,mcc_abs_eps7_ms3_min3_mean_score_sqrt_size,0.4730107492747177,0.24141729551565616,0.21367521367521367,0.28168784620397525,1.0,0.5987213019471084
1GQY,mcc_rank_count_eps5_ms3_min3_mean_score,0.3151709561265052,0.12551615445232467,0.07692307692307693,0.3573232323232323,1.0,0.19444444444444445
