#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)","Time Remaining"
49.8%,6225000,12450.000001618899,-2685062.8591437507,300.03569989279333,1.0134815996396445,182,1:39:24
50.0%,6250000,12500.000001629085,-2680912.046569554,300.29868743545234,1.010372672427281,182,1:39:00
50.2%,6275000,12550.000001639271,-2685080.401798608,300.5641148427233,1.0141766405750607,182,1:38:37
50.4%,6300000,12600.000001649458,-2682563.019659873,300.9601273290568,1.0132453579372354,182,1:38:13
50.6%,6325000,12650.000001659644,-2684337.6164076384,300.0083264236433,1.0115791247172015,182,1:37:49
50.8%,6350000,12700.00000166983,-2683671.424872488,301.09288063490993,1.0130359543455703,182,1:37:25
51.0%,6375000,12750.000001680017,-2683988.985861888,300.7983436615573,1.0127698681159483,182,1:37:01
51.2%,6400000,12800.000001690203,-2684290.780592287,300.18243187651956,1.0138818600435506,182,1:36:37
51.4%,6425000,12850.00000170039,-2686769.755275205,300.0436094927495,1.013472445986506,182,1:36:13
51.6%,6450000,12900.000001710576,-2685433.6178162433,300.859516194785,1.0122794886488455,182,1:35:50
51.8%,6475000,12950.000001720762,-2689397.3751211036,300.9658623002494,1.014284998870765,182,1:35:26
52.0%,6500000,13000.000001730948,-2685112.112501012,299.70314770400853,1.01144413505212,182,1:35:02
52.2%,6525000,13050.000001741135,-2682012.841864107,301.7413409326977,1.0122654912377422,182,1:34:38
52.4%,6550000,13100.000001751321,-2682219.82646651,300.0455714505002,1.0123995629793556,182,1:34:14
52.6%,6575000,13150.000001761508,-2686158.929143777,300.74217704173026,1.0129829231013643,182,1:33:51
52.8%,6600000,13200.000001771694,-2686090.3072655927,300.5700590841266,1.0125484310063628,182,1:33:27
53.0%,6625000,13250.00000178188,-2685229.2057172675,299.80641890989693,1.012058278973531,182,1:33:03
53.2%,6650000,13300.000001792067,-2685089.095988501,300.36628681938845,1.0121628283511037,182,1:32:39
53.4%,6675000,13350.000001802253,-2681778.458371265,299.4957481139739,1.0118144141983278,182,1:32:15
53.6%,6700000,13400.00000181244,-2685678.3717662264,300.25622537901353,1.0134484303918743,182,1:31:52
53.8%,6725000,13450.000001822626,-2684266.7673529964,299.64809185563087,1.0139311760190242,182,1:31:28
54.0%,6750000,13500.000001832812,-2685540.569354752,301.0590808100522,1.0124988963258938,182,1:31:04
54.2%,6775000,13550.000001842998,-2683042.0530416872,300.0562624132417,1.0116452222554368,182,1:30:41
54.4%,6800000,13600.000001853185,-2685464.044341905,300.5155122891418,1.0140035087194341,182,1:30:17
54.6%,6825000,13650.000001863371,-2683315.5216285884,300.2155056397492,1.0122484341428988,182,1:29:54
