replicate,frame,rmsd_nm
replicate_01,0,0.0
replicate_01,1,0.12446004152297974
replicate_01,2,0.15561412274837494
replicate_01,3,0.2042829394340515
replicate_01,4,0.19432039558887482
replicate_01,5,0.24112188816070557
replicate_01,6,0.23960675299167633
replicate_01,7,0.23805055022239685
replicate_01,8,0.2375575453042984
replicate_01,9,0.2738375961780548
replicate_01,10,0.2909216582775116
replicate_01,11,0.25083673000335693
replicate_01,12,0.28075510263442993
replicate_01,13,0.32432910799980164
replicate_01,14,0.35612624883651733
replicate_01,15,0.31716662645339966
replicate_01,16,0.30807045102119446
replicate_01,17,0.32908573746681213
replicate_01,18,0.3171430230140686
replicate_01,19,0.3251049816608429
replicate_01,20,0.300113707780838
replicate_01,21,0.2937544882297516
replicate_01,22,0.286767840385437
replicate_01,23,0.3096614480018616
replicate_01,24,0.30767345428466797
replicate_01,25,0.31801486015319824
replicate_01,26,0.32938119769096375
replicate_01,27,0.3112122118473053
replicate_01,28,0.33164533972740173
replicate_01,29,0.34637588262557983
replicate_01,30,0.31844598054885864
replicate_01,31,0.27874889969825745
replicate_01,32,0.29037240147590637
replicate_01,33,0.27711546421051025
replicate_01,34,0.3030335009098053
replicate_01,35,0.3137347996234894
replicate_01,36,0.3029841184616089
replicate_01,37,0.29091310501098633
replicate_01,38,0.25137314200401306
replicate_01,39,0.25515517592430115
replicate_01,40,0.24276117980480194
replicate_01,41,0.24741236865520477
replicate_01,42,0.23426921665668488
replicate_01,43,0.2630399465560913
replicate_01,44,0.2895810008049011
replicate_01,45,0.26932790875434875
replicate_01,46,0.35208991169929504
replicate_01,47,0.38021859526634216
replicate_01,48,0.32128456234931946
replicate_01,49,0.35189148783683777
replicate_01,50,0.3855994641780853
replicate_01,51,0.38689109683036804
replicate_01,52,0.45571351051330566
replicate_01,53,0.4752463400363922
replicate_01,54,0.482217937707901
replicate_01,55,0.46752047538757324
replicate_01,56,0.5070100426673889
replicate_01,57,0.5541273951530457
replicate_01,58,0.5578600764274597
replicate_01,59,0.557171106338501
replicate_01,60,0.5567277073860168
replicate_01,61,0.5809337496757507
replicate_01,62,0.5814917087554932
replicate_01,63,0.5511348247528076
replicate_01,64,0.5492169857025146
replicate_01,65,0.5655515193939209
replicate_01,66,0.6117162704467773
replicate_01,67,0.6001775860786438
replicate_01,68,0.5644036531448364
replicate_01,69,0.586250901222229
replicate_01,70,0.5705224871635437
replicate_01,71,0.5386650562286377
replicate_01,72,0.5324940085411072
replicate_01,73,4.016016483306885
replicate_01,74,0.5652515292167664
replicate_01,75,4.009767055511475
replicate_01,76,4.037681579589844
replicate_01,77,4.019621849060059
replicate_01,78,4.008923530578613
replicate_01,79,4.011747360229492
replicate_01,80,4.011689186096191
replicate_01,81,4.007657527923584
replicate_01,82,4.008198261260986
replicate_01,83,4.008761882781982
replicate_01,84,4.00762414932251
replicate_01,85,4.002617359161377
replicate_01,86,4.021193981170654
replicate_01,87,4.022432327270508
replicate_01,88,4.022707939147949
replicate_01,89,4.029603004455566
replicate_01,90,4.026378631591797
replicate_01,91,4.030185222625732
replicate_01,92,4.0223846435546875
replicate_01,93,4.020481109619141
replicate_01,94,4.018841743469238
replicate_01,95,4.032716751098633
replicate_01,96,4.025007247924805
replicate_01,97,4.032569408416748
replicate_01,98,4.0175933837890625
replicate_01,99,4.020278453826904
replicate_01,100,4.024632930755615
replicate_01,101,4.0120038986206055
replicate_01,102,4.0101237297058105
replicate_01,103,4.018044471740723
replicate_01,104,4.0224995613098145
replicate_01,105,4.021793365478516
replicate_01,106,4.023535251617432
replicate_01,107,4.033255577087402
replicate_01,108,4.016878128051758
replicate_01,109,4.03019380569458
replicate_01,110,4.016409397125244
replicate_01,111,4.028153896331787
replicate_01,112,4.026569843292236
replicate_01,113,4.015573024749756
replicate_01,114,4.022920608520508
replicate_01,115,4.017919063568115
replicate_01,116,4.00738525390625
replicate_01,117,4.012279510498047
replicate_01,118,4.020320415496826
replicate_01,119,4.029970645904541
replicate_01,120,4.014657020568848
replicate_01,121,1.1940544843673706
replicate_01,122,1.199675440788269
replicate_01,123,1.1729846000671387
replicate_01,124,1.1253547668457031
replicate_01,125,1.1593787670135498
replicate_01,126,1.15756356716156
replicate_01,127,1.1543656587600708
replicate_01,128,1.1695815324783325
replicate_01,129,1.1378816366195679
replicate_01,130,4.009317398071289
replicate_01,131,1.1729187965393066
replicate_01,132,1.1568500995635986
replicate_01,133,1.1583735942840576
replicate_01,134,1.2089319229125977
replicate_01,135,1.1765773296356201
replicate_01,136,1.1837403774261475
replicate_01,137,1.254380464553833
replicate_01,138,4.0155816078186035
replicate_01,139,4.003819465637207
replicate_01,140,4.003865718841553
replicate_01,141,4.020362854003906
replicate_01,142,4.01444673538208
replicate_01,143,4.011760234832764
replicate_01,144,4.009538650512695
replicate_01,145,4.014236927032471
replicate_01,146,4.015386581420898
replicate_01,147,4.024062633514404
replicate_01,148,4.0028839111328125
replicate_01,149,4.023642539978027
replicate_01,150,4.020606994628906
replicate_01,151,3.9949584007263184
replicate_01,152,4.004281520843506
replicate_01,153,4.004794597625732
replicate_01,154,4.0217366218566895
replicate_01,155,4.025055885314941
replicate_01,156,4.013918399810791
replicate_01,157,4.022426605224609
replicate_01,158,4.020948886871338
replicate_01,159,4.019859790802002
replicate_01,160,4.015862941741943
replicate_01,161,4.035865306854248
replicate_01,162,4.0194292068481445
replicate_01,163,4.032151222229004
replicate_01,164,4.017402648925781
replicate_01,165,4.018586158752441
replicate_01,166,4.013782024383545
replicate_01,167,4.021417617797852
replicate_01,168,4.016417026519775
replicate_01,169,4.009109973907471
replicate_01,170,4.017151355743408
replicate_01,171,4.0041279792785645
replicate_01,172,4.012488842010498
