name,official_url,download_date,license,file_path,file_size,sha256,file_type,schema_preview,contains,trust_level,intended_role,warnings,status
PubMed abstracts: aoh1996,https://pubmed.ncbi.nlm.nih.gov/?term=AOH1996%20PCNA%20inhibitor,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_aoh1996.txt,36.6 KB,b05a221f8ccbf334894b09c4b8cae752bac56dc882164e8519d9a9ad0f8c7511,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: aoh1996,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: pocketminer,https://pubmed.ncbi.nlm.nih.gov/?term=PocketMiner%20pocket%20prediction,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_pocketminer.txt,6.9 KB,8b50bd8aff876af046dcdb8eeb02f96c32e69aae46c5d94387564e96cfc94a2b,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: pocketminer,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: biolip,https://pubmed.ncbi.nlm.nih.gov/?term=BioLiP%20ligand%20binding%20residue%20database,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_biolip.txt,10.4 KB,c3bcc19a0af2c6a0b07991ef26cf9aac338530b421275591f98659ec0b1e34f4,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: biolip,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: fpocket,https://pubmed.ncbi.nlm.nih.gov/?term=fpocket%20Voronoi%20pocket%20detection,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_fpocket.txt,2.3 KB,9786cf3af3c14212084af0d7901779eaa21b19813cf5d39a7d9c52a35ba63d57,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: fpocket,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: lp_pdbbind,https://pubmed.ncbi.nlm.nih.gov/?term=LP-PDBBind%20leakage%20protein-ligand%20split,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_lp_pdbbind.txt,4.0 KB,0227c54b48204c375aae5dee27e2e5108489412ff2d0543d96a51cc6717026f9,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: lp_pdbbind,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: deeppocket,https://pubmed.ncbi.nlm.nih.gov/?term=DeepPocket%20deep%20learning%20pocket,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_deeppocket.txt,4.3 KB,b17db3aa67d6ed868e161380fc60c1fb465df4a6ecf3a1e577cc1ed4e72b032b,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: deeppocket,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: equipocket,https://pubmed.ncbi.nlm.nih.gov/?term=EquiPocket%20equivariant%20pocket%20prediction,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_equipocket.txt,43.0 KB,c7a221086443e2e56d749675a24f97e11360d57c65f98e515bedb39f925fa813,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: equipocket,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: leakage,https://pubmed.ncbi.nlm.nih.gov/?term=dataset%20leakage%20protein%20structure%20benchmark,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_leakage.txt,15.7 KB,4cd4da6ea4643d48d1dc15f3621027ccf96fbe4f463a18ed2115fb5a4333a2b5,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: leakage,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: allosteric_review,https://pubmed.ncbi.nlm.nih.gov/?term=allosteric%20site%20detection%20review,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_allosteric_review.txt,52.9 KB,3465cad045934d4f42c145aca3bfc3ded56dab2d506ad49f277029b9ad70f667,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: allosteric_review,Abstracts only. Full text not downloaded.,ACQUIRED
PubMed abstracts: pcna_review,https://pubmed.ncbi.nlm.nih.gov/?term=PCNA%20ring%20sliding%20clamp%20DNA%20replication%20review,2026-05-27T18:53:33Z,NLM open access — abstracts only,data\raw_intake\literature_metadata\pm_pcna_review.txt,24.2 KB,e65c581b378b32982e3715f57d48fbc05595666bd1ff783e1ba4ae504229376a,Text,,literature_metadata,OFFICIAL_API,Literature metadata for topic: pcna_review,Abstracts only. Full text not downloaded.,ACQUIRED
Seed context relevant papers (from round_00_seed.json),local:context/round_00_seed.json,2026-05-27T18:53:33Z,various,data\raw_intake\literature_metadata\seed_relevant_papers.json,437.0 KB,29c792c1faaa1047eee2bba72339ff036568e7e80310cb12b314c148e13d7e27,JSON,,literature_metadata,CRAWL_LEAD,Literature leads for manual review,These are crawl-derived leads only. Verify each before citing.,ACQUIRED
