name,official_url,download_date,license,file_path,file_size,sha256,file_type,schema_preview,contains,trust_level,intended_role,warnings,status
RCSB PDB 1RWZ mmCIF,https://files.rcsb.org/download/1RWZ.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1RWZ.cif,271.5 KB,4bbe7970efd7ed105dfa88c3f27d5e1425343506bbbfe95fd685bdde56fe6e76,mmCIF,data_1RWZ,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1IZ5 metadata,https://www.rcsb.org/structure/1IZ5,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1IZ5_metadata.json,16.6 KB,7568e1352246e2daa73625f4d4f687a1d9e85da3c676aa05cd8133821169bf6a,JSON (RCSB REST API),"method=X-ray, resolution=1.8Å, organism=Pyrococcus furiosus, chains=1, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1IZ5 mmCIF,https://files.rcsb.org/download/1IZ5.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1IZ5.cif,421.9 KB,8a26f060f9eed206108cd585fa5c8bd760ec2fa0ce8caa8dfb174cf9b64be0cc,mmCIF,data_1IZ5,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1GE8 metadata,https://www.rcsb.org/structure/1GE8,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1GE8_metadata.json,17.0 KB,77982a1999494041afc16e20c6e08dcdad8aa44c30f10360025fe57ef02f23c9,JSON (RCSB REST API),"method=X-ray, resolution=2.1Å, organism=Pyrococcus furiosus, chains=1, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1GE8 mmCIF,https://files.rcsb.org/download/1GE8.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1GE8.cif,231.4 KB,57c6fb10840e4ee18ab4460248383a8dfb52f6be4b248603ea828b8eb6f9abc0,mmCIF,data_1GE8,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1UD9 metadata,https://www.rcsb.org/structure/1UD9,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1UD9_metadata.json,21.6 KB,41b99eba25b04e98e33f410ad46aec51c8c23896c54c65536a8c5a44ed8d478d,JSON (RCSB REST API),"method=X-ray, resolution=1.68Å, organism=Sulfolobus tokodaii, chains=1, nonpoly=1, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1UD9 mmCIF,https://files.rcsb.org/download/1UD9.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1UD9.cif,885.2 KB,d15434fab6317218f808bf24fccb45db3cd9f2227352e043f3d3244799fdc506,mmCIF,data_1UD9,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 5DA7 metadata,https://www.rcsb.org/structure/5DA7,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5DA7_metadata.json,16.1 KB,23d50f3ceb2fbbf3eb053b6a6cad0aace391177057e2b66e47b13deec98d38e2,JSON (RCSB REST API),"method=X-ray, resolution=2.802Å, organism=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1), chains=2, nonpoly=1, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 5DA7 mmCIF,https://files.rcsb.org/download/5DA7.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5DA7.cif,511.7 KB,1e6b9021bc82d9826f5b0a7c586c6bf0f1302e8136c851ef75f7b7b7f719b9fd,mmCIF,data_5DA7,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 5HAC metadata,https://www.rcsb.org/structure/5HAC,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5HAC_metadata.json,21.6 KB,54fd4eaa3910cba63e1acd2051fa81ffe355ea8fff9a88e3fbad1fe7bd65673e,JSON (RCSB REST API),"method=X-ray, resolution=2.95Å, organism=Leishmania donovani, chains=1, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 5HAC mmCIF,https://files.rcsb.org/download/5HAC.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\5HAC.cif,1.27 MB,41b7148134a6ec6b82cae2a7b622e05d2f535957391bac1e7ae0c421547f3dd4,mmCIF,data_5HAC,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1IZ4 metadata,https://www.rcsb.org/structure/1IZ4,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1IZ4_metadata.json,17.3 KB,549bfe1a26b859ec01314b83264d8b4cfb0a6fc3c87e0b243f8f83d5af54f368,JSON (RCSB REST API),"method=X-ray, resolution=2.0Å, organism=Pyrococcus furiosus, chains=1, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1IZ4 mmCIF,https://files.rcsb.org/download/1IZ4.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\rcsb_pdb\1IZ4.cif,231.4 KB,e14dd1763bed723e60ad42866e9235ea3b5939bcbec21d65c3b5badb460e5c6c,mmCIF,data_1IZ4,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
