replicate,frame,time_ns,rmsd_nm
replicate_01,0,0.0,0.0
replicate_01,1,0.1,0.11736832559108734
replicate_01,2,0.2,0.128230020403862
replicate_01,3,0.30000000000000004,0.1357439160346985
replicate_01,4,0.4,0.12847718596458435
replicate_01,5,0.5,0.18898014724254608
replicate_01,6,0.6000000000000001,0.20355574786663055
replicate_01,7,0.7000000000000001,0.18773525953292847
replicate_01,8,0.8,0.19282759726047516
replicate_01,9,0.9,0.21063239872455597
replicate_01,10,1.0,0.23473958671092987
replicate_01,11,1.1,0.22141361236572266
replicate_01,12,1.2000000000000002,0.24642963707447052
replicate_01,13,1.3,0.232080340385437
replicate_01,14,1.4000000000000001,0.24580755829811096
replicate_01,15,1.5,0.21951164305210114
replicate_01,16,1.6,0.20416806638240814
replicate_01,17,1.7000000000000002,0.23426315188407898
replicate_01,18,1.8,0.2205209881067276
replicate_01,19,1.9000000000000001,0.23655705153942108
replicate_01,20,2.0,0.23821304738521576
replicate_01,21,2.1,0.25987672805786133
replicate_01,22,2.2,0.24733752012252808
replicate_01,23,2.3000000000000003,0.2465415596961975
replicate_01,24,2.4000000000000004,0.24620845913887024
replicate_01,25,2.5,0.26511824131011963
replicate_01,26,2.6,0.235042005777359
replicate_01,27,2.7,0.23438088595867157
replicate_01,28,2.8000000000000003,0.21771660447120667
replicate_01,29,2.9000000000000004,0.22764283418655396
replicate_01,30,3.0,0.23432497680187225
replicate_01,31,3.1,0.23007771372795105
replicate_01,32,3.2,0.2508949637413025
replicate_01,33,3.3000000000000003,0.2325671762228012
replicate_01,34,3.4000000000000004,0.2666175663471222
replicate_01,35,3.5,0.2578626573085785
replicate_01,36,3.6,0.24008752405643463
replicate_01,37,3.7,0.25599172711372375
replicate_01,38,3.8000000000000003,0.2429090142250061
replicate_01,39,3.9000000000000004,0.21565736830234528
replicate_01,40,4.0,0.21069787442684174
replicate_01,41,4.1000000000000005,0.21953676640987396
replicate_01,42,4.2,0.21829237043857574
replicate_01,43,4.3,0.221488356590271
replicate_01,44,4.4,0.2235093116760254
replicate_01,45,4.5,0.21887291967868805
replicate_01,46,4.6000000000000005,0.2204427719116211
replicate_01,47,4.7,0.21439045667648315
replicate_01,48,4.800000000000001,0.21012426912784576
replicate_01,49,4.9,0.23244556784629822
replicate_01,50,5.0,0.23034434020519257
replicate_01,51,5.1000000000000005,0.19996316730976105
replicate_01,52,5.2,0.20996995270252228
replicate_01,53,5.300000000000001,0.1951102465391159
replicate_01,54,5.4,0.22057101130485535
replicate_01,55,5.5,0.22169065475463867
replicate_01,56,5.6000000000000005,0.21314513683319092
replicate_01,57,5.7,0.2263759821653366
replicate_01,58,5.800000000000001,0.22724561393260956
replicate_01,59,5.9,0.2358563095331192
replicate_01,60,6.0,0.24058681726455688
replicate_01,61,6.1000000000000005,0.22832649946212769
replicate_01,62,6.2,0.2088601142168045
replicate_01,63,6.300000000000001,0.21010129153728485
replicate_01,64,6.4,0.21246780455112457
replicate_01,65,6.5,0.19937598705291748
replicate_01,66,6.6000000000000005,0.2056925743818283
replicate_01,67,6.7,0.19574898481369019
replicate_01,68,6.800000000000001,0.22477085888385773
replicate_01,69,6.9,0.2356017827987671
replicate_01,70,7.0,0.22756405174732208
replicate_01,71,7.1000000000000005,0.23943167924880981
replicate_01,72,7.2,0.22706648707389832
replicate_01,73,7.300000000000001,0.24713946878910065
replicate_01,74,7.4,0.227966770529747
replicate_01,75,7.5,0.2331920564174652
replicate_01,76,7.6000000000000005,0.25325608253479004
replicate_01,77,7.7,0.2534221410751343
replicate_01,78,7.800000000000001,0.25644662976264954
replicate_01,79,7.9,0.24219532310962677
replicate_01,80,8.0,0.24208424985408783
replicate_01,81,8.1,0.22113311290740967
replicate_01,82,8.200000000000001,0.2416793704032898
replicate_01,83,8.3,0.22799097001552582
replicate_01,84,8.4,0.22981677949428558
replicate_01,85,8.5,0.23885490000247955
replicate_01,86,8.6,0.25356361269950867
replicate_01,87,8.700000000000001,0.23964761197566986
replicate_01,88,8.8,0.24601510167121887
replicate_01,89,8.9,0.23797842860221863
replicate_01,90,9.0,0.24620003998279572
replicate_01,91,9.1,0.23561933636665344
replicate_01,92,9.200000000000001,0.23848214745521545
replicate_01,93,9.3,0.23611348867416382
replicate_01,94,9.4,0.24752704799175262
replicate_01,95,9.5,0.24086186289787292
replicate_01,96,9.600000000000001,0.2517428994178772
replicate_01,97,9.700000000000001,0.24879154562950134
replicate_01,98,9.8,0.24996688961982727
replicate_01,99,9.9,0.2447926104068756
replicate_01,100,10.0,0.2382390946149826
replicate_01,101,10.100000000000001,0.22354017198085785
replicate_01,102,10.200000000000001,0.23038925230503082
replicate_01,103,10.3,0.2172250598669052
replicate_01,104,10.4,0.23082886636257172
replicate_01,105,10.5,0.23197630047798157
replicate_01,106,10.600000000000001,0.23142267763614655
replicate_01,107,10.700000000000001,0.2530381381511688
replicate_01,108,10.8,0.23723246157169342
replicate_01,109,10.9,0.24733194708824158
replicate_01,110,11.0,0.254041850566864
replicate_01,111,11.100000000000001,0.2524869740009308
replicate_01,112,11.200000000000001,0.24149096012115479
replicate_01,113,11.3,0.25052911043167114
replicate_01,114,11.4,0.25089770555496216
replicate_01,115,11.5,0.24455301463603973
replicate_01,116,11.600000000000001,0.26276659965515137
replicate_01,117,11.700000000000001,0.24203866720199585
replicate_01,118,11.8,0.2533296048641205
replicate_01,119,11.9,0.25159767270088196
replicate_01,120,12.0,0.2466030865907669
replicate_01,121,12.100000000000001,0.25166070461273193
replicate_01,122,12.200000000000001,0.2606584429740906
replicate_01,123,12.3,0.26849663257598877
replicate_01,124,12.4,0.28267109394073486
replicate_01,125,12.5,0.27074503898620605
replicate_01,126,12.600000000000001,0.2612926661968231
replicate_01,127,12.700000000000001,0.2589808702468872
replicate_01,128,12.8,0.2755824029445648
replicate_01,129,12.9,0.26909446716308594
replicate_01,130,13.0,0.27189651131629944
replicate_01,131,13.100000000000001,0.2599138915538788
replicate_01,132,13.200000000000001,0.26766055822372437
replicate_01,133,13.3,0.27185338735580444
replicate_01,134,13.4,0.27197006344795227
replicate_01,135,13.5,0.2802526652812958
replicate_01,136,13.600000000000001,0.27862128615379333
